tax_name,tax_name_english,english_explanation,revenue_eur,revenue_pct_gdp,source_for_data,notes
Accise sur l'électricité,Excise duty on electricity,Eurostat national-tax-list line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: energy.,4803000000,0.164492,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D214A; DETAILS C07; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
"Accise sur les alcools, fraction perçue sur les produits intermédiaires (ex-Droit de consommation sur les produits intermédiaires)",Low-yield behavioural incentive levy on production paid by businesses,Low-yield behavioural incentive levy on production paid by businesses. Collector: DGDDI. Beneficiary: Caisse centrale de la mutualité sociale agricole (CCMSA).,51477994,0.001763,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 61; Enjeu 2024","Cour low-yield-tax inventory id 61. Status: En vigueur entre 2019 et 2024. Objective: Incitation; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 64.811m. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
"Accise sur les alcools, fraction perçue sur les vins (ex-Droit de circulation sur les vins, cidres, poirés et hydromels)",Low-yield behavioural incentive levy on production paid by businesses,Low-yield behavioural incentive levy on production paid by businesses. Collector: DGDDI. Beneficiary: Caisse centrale de la mutualité sociale agricole (CCMSA).,105812589,0.003624,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 60; Enjeu 2024","Cour low-yield-tax inventory id 60. Status: En vigueur entre 2019 et 2024. Objective: Incitation; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 113.533m. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
"Accise sur les tabacs, fraction perçue en Corse (ex-Droit de consommation sur les tabacs en Corse)",Low-yield behavioural incentive levy on production paid by businesses,Low-yield behavioural incentive levy on production paid by businesses. Collector: DGDDI. Beneficiary: Collectivité territoriale de Corse.,199845350,0.006844,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 63; Enjeu 2024","Cour low-yield-tax inventory id 63. Status: En vigueur entre 2019 et 2024. Objective: Incitation; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 117.683m. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
"Accise sur les tabacs, fraction perçue en France continentale (ex-Taxe et droits de consommation sur les tabacs)",Low-yield budget-raising levy on consumption paid by individuals,Low-yield budget-raising levy on consumption paid by individuals. Collector: DGDDI. Beneficiary: Budget général.,67000000,0.002295,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 216; Enjeu 2024","Cour low-yield-tax inventory id 216. Status: En vigueur entre 2019 et 2024. Objective: Rendement; payer: Particuliers; base: Consommation. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
"Accise sur les tabacs, fraction perçue en outre-mer (ex-Droit de consommation sur les tabacs dans les DOM)",Low-yield behavioural incentive levy on production paid by businesses,Low-yield behavioural incentive levy on production paid by businesses. Collector: DGDDI. Beneficiary: Départements d’Outre-mer.,8523376,0.000292,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 62; Enjeu 2024","Cour low-yield-tax inventory id 62. Status: En vigueur entre 2019 et 2024. Objective: Incitation; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 144.279m. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
Accise sur les énergies - fraction perçue sur l'électricité (ex-Taxe communale sur la consommation finale d'électricité (TCFE) - Part intercommunale),Low-yield budget-raising levy on consumption paid by individuals,Low-yield budget-raising levy on consumption paid by individuals. Collector: DGDDI. Beneficiary: Communes / Départements.,31838298,0.001090,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 205; Enjeu 2024","Cour low-yield-tax inventory id 205. Status: En vigueur entre 2019 et 2024. Objective: Rendement; payer: Particuliers; base: Consommation. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 38.715m. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
"Accise sur les énergies, fraction perçue sur les charbons (ex-Taxe intérieure sur les houilles, les lignites et les cokes (TICHLC))",Low-yield budget-raising levy on consumption paid by businesses,Low-yield budget-raising levy on consumption paid by businesses. Collector: DGDDI. Beneficiary: Budget général.,,,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 224; Enjeu 2024",Cour low-yield-tax inventory id 224. Status: En vigueur entre 2019 et 2024. Objective: Rendement; payer: Entreprises; base: Consommation. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. No known or estimated 2024 yield in the Cour annex; cannot be area-sized without an estimate.
Actes et écrits assujettis au timbre de dimension,Low-yield service-related levy on consumption paid by individuals,Low-yield service-related levy on consumption paid by individuals. Collector: DGFiP. Beneficiary: Budget général.,6896,0.000000,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 1; Enjeu 2019 uprated to 2024 using INSEE CPI",Cour low-yield-tax inventory id 1. Status: En vigueur entre 2019 et 2024. Objective: Service rendu; payer: Particuliers; base: Consommation. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 0.006m. No Cour Enjeu 2024 figure; revenue is an estimate from Cour Enjeu 2019 uprated to 2024 using INSEE annual-average CPI inflation for 2020-2024. CPI uprating factor used: 1.149347008.
Actes judiciaires et extrajudiciaires,Low-yield service-related levy on consumption paid by individuals,Low-yield service-related levy on consumption paid by individuals. Collector: DGFiP. Beneficiary: Budget général.,316,0.000000,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 2; Enjeu 2019 uprated to 2024 using INSEE CPI",Cour low-yield-tax inventory id 2. Status: En vigueur entre 2019 et 2024. Objective: Service rendu; payer: Particuliers; base: Consommation. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 0.000275m. No Cour Enjeu 2024 figure; revenue is an estimate from Cour Enjeu 2019 uprated to 2024 using INSEE annual-average CPI inflation for 2020-2024. CPI uprating factor used: 1.149347008.
