tax_name,group,revenue_eur,source_for_data,is_total_or_memo,notes
Lohnsteuer,Gemeinschaftliche Steuern,248920397180,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
veranlagte Einkommensteuer,Gemeinschaftliche Steuern,74844797389,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
nicht veranlagte Steuern vom Ertrag,Gemeinschaftliche Steuern,34022775194,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Abgeltungsteuer auf Zins- und Veräußerungserträge,Gemeinschaftliche Steuern,19267088615,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Körperschaftsteuer,Gemeinschaftliche Steuern,39757560498,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Steuern vom Umsatz,Gemeinschaftliche Steuern,302143338590,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Umsatzsteuer,Gemeinschaftliche Steuern,228650545343,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Einfuhrumsatzsteuer,Gemeinschaftliche Steuern,73492793247,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Gemeinschaftliche Steuern insgesamt,Gemeinschaftliche Steuern,718955957466,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",yes,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Gewerbesteuerumlage,Gewerbesteuerumlagen,6645393257,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
erhöhte Gewerbesteuerumlage,Gewerbesteuerumlagen,1789080,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Gewerbesteuerumlagen insgesamt,Gewerbesteuerumlagen,6647182337,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",yes,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Energiesteuer,Bundessteuern,35094556158,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Solidaritätszuschlag,Bundessteuern,12634294172,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Tabaksteuer,Bundessteuern,15637395235,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Versicherungsteuer,Bundessteuern,18227342314,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Kraftfahrzeugsteuer,Bundessteuern,9667296107,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Stromsteuer,Bundessteuern,5153423497,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Alkoholsteuer (bis 2017 Branntweinsteuer),Bundessteuern,1979628975,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
