tax_name,tax_name_english,english_explanation,revenue_eur,revenue_pct_gdp,source_for_data,notes
Umsatzsteuer (abzüglich Unterkompensation),,Eurostat National Tax Lists line classified as ESA code D211. Economic function: consumption.,225541000000,5.238683,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D211; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Einfuhrumsatzsteuer,,Eurostat National Tax Lists line classified as ESA code D211. Economic function: consumption.,73223000000,1.700764,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D211; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Zölle,,Eurostat National Tax Lists line classified as ESA code D2121. Economic function: consumption.,5582000000,0.129654,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D2121; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Verbrauchsteuern auf Einfuhren,,Eurostat National Tax Lists line classified as ESA code D2122C. Economic function: consumption.,28749000000,0.667758,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D2122C; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Stromsteuer,Electricity tax,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: energy.,5671000000,0.131721,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Mineralölsteuer / Energiesteuer ab 2006,Energy tax,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: energy.,36579000000,0.849627,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Tabaksteuer,Tobacco duty,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: alcohol/tobacco.,15786000000,0.366664,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Alkoholsteuer / Branntweinabgaben / einschl. Alcopops ab 3. Quartal 2004,Spirits duty,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: alcohol/tobacco.,1993000000,0.046292,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C04; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Kaffeesteuer,Coffee duty,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption.,996000000,0.023134,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C05; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Schaumweinsteuer,sparkling wine duty,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: alcohol/tobacco.,371000000,0.008617,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C09; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
