tax_name,tax_name_english,english_explanation,revenue_eur,revenue_pct_gdp,source_for_data,notes,chart_label_en,layer_1,layer_2,layer_3,layer_4,classification_notes,display_explanation,chart_include,chart_revenue_eur,chart_revenue_pct_gdp,netted_adjustments_eur,netting_notes
Lohnsteuer,Wage tax,Payroll withholding on employment income.,286294000000,6.649804,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Wage tax,Employment,Personal income taxes,Employment income taxes,,Direct UK equivalent: PAYE-style withholding on wages.,Payroll withholding on employment income.,yes,282197305071,6.554649,-4096694929,BMF cash receipts identify this amount as the solidarity surcharge on wage tax; it is shown separately.
Einkommensteuer der übrigen Welt,Non-resident income tax,Income tax attributed to non-residents in the national accounts.,15172000000,0.352403,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51E; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Non-resident income tax,Employment,Personal income taxes,Non-resident income taxes,,Income-tax line attributed to the rest of the world in the national accounts.,Income tax attributed to non-residents in the national accounts.,yes,15172000000,0.352403,0,
Veranlagte Einkommensteuer,Assessed income tax,Income tax assessed through tax returns.,62162000000,1.443848,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Assessed income tax,Employment,Personal income taxes,Self-assessed income taxes,,Personal income tax assessed through returns.,Income tax assessed through tax returns.,yes,58712413320,1.363724,-3449586680,BMF cash receipts identify this amount as the solidarity surcharge on assessed income tax; it is shown separately.
Tatsächliche Pflichtsozialbeiträge der Arbeitnehmer,Employee social contributions,Compulsory employee social security contributions deducted from wages.,280081000000,6.505493,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D613CE; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Employee social contribs,Employment,Social contributions,Employee and household contributions,,Compulsory social contribution.,Compulsory employee social security contributions deducted from wages.,yes,280081000000,6.505493,0,
Tatsächliche Pflichtsozialbeiträge der Nichterwerbstätigen,Non-employed social contributions,Compulsory social security contributions paid by people who are not in employment.,106139000000,2.465310,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D613CN; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Non-employed contribs,Employment,Social contributions,Employee and household contributions,,Compulsory social contribution.,Compulsory social security contributions paid by people who are not in employment.,yes,106139000000,2.465310,0,
Tatsächliche Pflichtsozialbeiträge der Selbständigen,Self-employed social contributions,Compulsory social security contributions paid by self-employed workers.,11725000000,0.272339,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D613CS; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Self-employed contribs,Employment,Social contributions,Employee and household contributions,,Compulsory social contribution.,Compulsory social security contributions paid by self-employed workers.,yes,11725000000,0.272339,0,
Tatsächliche freiwillige Sozialbeiträge der privaten Haushalte,Voluntary social contributions,Voluntary social security contributions paid by households.,8165000000,0.189650,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D613V; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Voluntary social contribs,Employment,Social contributions,Employee and household contributions,,Voluntary household social contribution included by Eurostat in the social-contribution total.,Voluntary social security contributions paid by households.,yes,8165000000,0.189650,0,
Tatsächliche Pflichtsozialbeiträge der Arbeitgeber,Employer social contributions,Compulsory employer social security contributions on employees' pay.,302299000000,7.021555,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D611C; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Employer social contribs,Employment,Social contributions,Employer contributions,,Compulsory social contribution.,Compulsory employer social security contributions on employees' pay.,yes,302299000000,7.021555,0,
unterstellte Sozialbeiträge,Imputed employer social contributions,Social benefits paid directly by employers and recorded as employer social contributions in the national accounts.,48142000000,1.118203,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D612; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Imputed employer contribs,Employment,Social contributions,Employer contributions,,National-accounts social-contribution imputation.,Social benefits paid directly by employers and recorded as employer social contributions in the national accounts.,yes,48142000000,1.118203,0,
Tabaksteuer,Tobacco duty,Excise duty on tobacco products.,15786000000,0.366664,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Tobacco duty,Goods/services,"Alcohol, tobacco and drinks",Excise duties,,Direct UK equivalent: tobacco duty.,Excise duty on tobacco products.,yes,15786000000,0.366664,0,
