tax_id	episode	tax_name	parent_tax	category	jurisdiction	start_year	start_date	end_year	end_date	episode_status	date_confidence	source_id	source_locator	source_quote	notes
shipgeld	1	Shipgeld		early direct tax	England	1008		1066		ended	low	dowell_v1	Book I ch. II	"""The third was the Ship-geld"""	Pre-Conquest tax included as background; start is a best-guess Anglo-Saxon naval-levy date, and end is conservatively set at the Norman Conquest.
danegeld	1	Danegeld		land/property	England	1084		1163		ended	medium	dowell_v1	Contents, ch. V	The danegeld, revived by the Conqueror, afterwards becomes annual... Disappears after 1163.	
fumage	1	Fumage/hearth tax		household/property	England	1000		1066		ended	low	dowell_v1	Book I ch. II	"""as the original of the 'Hearth-money'"""	Pre-Conquest hearth-related tax; start is a best-guess placeholder because Dowell describes it as an old English custom rather than giving an enactment date.
carucage	1	Carucage		land/property	England	1194		1224		ended	medium	dowell_v1	Contents, ch. V	Carucage taken by Richard I. in 1194 and 1198... The Falkes de Breaute carucage in 1224. End of carucage	
scutage	1	Scutage		land/property	England	1159		1306		ended	medium	dowell_v1	Contents, ch. VI	The scutage of Toulouse, 1159... The last of the scutages	
tallage	1	Tallage		direct tax	England	1163		1304		ended	medium	dowell_v1	Book I ch. V	"""the special era of tallage, commences... a.d. 1163"""	Dowell treats 1163-1304 as the special era of tallage; later threatened revivals are not counted as separate levies unless collected.
saladin_tithe	1	Saladin tithe		moveables	England	1188		1188		ended	high	dowell_v1	Contents, ch. VIII	The Saladin tithe, 1188. Taxation of moveables.	
tax_on_moveables	1	Taxation of moveables		moveables	England	1188		1334		ended	medium	dowell_v1	Contents, ch. VIII	The taxation of moveables. 1188-1334.	
prisage_wine	1	Prisage of wine		wine/customs	England	1215		1302		ended	low	dowell_v1	Book I ch. IX	"""The King's Prisage of Wine"""	Known to exist before Magna Carta; coded from 1215 as "known in force by" and ended at the 1302 commutation for foreign merchants. Native-merchant continuity needs later splitting.
fifteenths_tenths	1	Fifteenths and tenths		direct tax	England	1334		1624		ended	medium	dowell_v1	Contents, Book III / ch. I	Settlement of the fifteenth and tenth in 1334... The last fifteenths and tenths.	End year inferred from Dowell phrase; verify.
parish_tax	1	Parish tax		direct tax	England	1371		1371		ended	medium	dowell_v1	Contents, ch. I	The novel tax on parishes in 1371.	
poll_tax_general	1	Poll tax / tallage of groats		personal tax	England	1377		1377		ended	high	dowell_v1	Contents, ch. I	Imposition of the first poll tax. The tallage of groats of 1377.	
poll_tax_general	2	Graduated poll tax		personal tax	England	1379		1379		ended	high	dowell_v1	Contents, ch. I	The graduated poll tax of 1379.	
poll_tax_general	3	Poll tax		personal tax	England	1380		1380		ended	high	dowell_v1	Contents, ch. I	Imposition of another poll tax in 1380. The peasant insurrection.	
alien_poll_tax	1	Poll tax on aliens		personal tax	England	1439		1439		ended	medium	dowell_v3	Book I ch. I	One such poll was imposed in 1439; another, in 1442.	
