year_label	date	pct_gdp	measure	source	confidence	note
1700-01	1700-07-01	5.064425	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1701-02	1701-07-01	5.284751	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1702-03	1702-07-01	6.637246	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1703-04	1703-07-01	7.009246	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1704-05	1704-07-01	6.043620	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1705-06	1705-07-01	6.605369	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1706-07	1706-07-01	7.600256	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1707-08	1707-07-01	6.828990	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1708-09	1708-07-01	6.292090	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1709-10	1709-07-01	6.694225	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1710-11	1710-07-01	6.989065	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1711-12	1711-07-01	7.303857	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1712-13	1712-07-01	7.885368	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1713-14	1713-07-01	7.507918	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1714-15	1714-07-01	6.907709	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1715-16	1715-07-01	7.356642	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1716-17	1716-07-01	7.619511	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1717-18	1717-07-01	7.450203	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1718-19	1718-07-01	6.962709	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1719-20	1719-07-01	7.117366	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1720-21	1720-07-01	6.724022	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1721-22	1721-07-01	7.077561	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1722-23	1722-07-01	7.158982	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1723-24	1723-07-01	6.963570	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1724-25	1724-07-01	6.917835	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1725-26	1725-07-01	6.559036	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1726-27	1726-07-01	6.719081	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1727-28	1727-07-01	7.374776	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1728-29	1728-07-01	7.159152	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1729-30	1729-07-01	7.401035	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1730-31	1730-07-01	7.565554	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1731-32	1731-07-01	7.368668	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1732-33	1732-07-01	6.818904	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1733-34	1733-07-01	6.457881	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
