country,tax_count,color
Estonia,34,#9CA3AF
Lithuania,35,#9CA3AF
Germany,54,#2F855A
Latvia,54,#9CA3AF
Ireland,61,#6B7280
Iceland,61,#9CA3AF
Finland,62,#9CA3AF
Malta,67,#9CA3AF
Bulgaria,69,#9CA3AF
Slovakia,69,#9CA3AF
Greece,72,#9CA3AF
Netherlands,74,#6B7280
Sweden,74,#6B7280
Cyprus,81,#9CA3AF
Slovenia,81,#9CA3AF
Croatia,86,#9CA3AF
Czechia,88,#9CA3AF
Spain,88,#6B7280
Italy,89,#6B7280
Luxembourg,89,#9CA3AF
Norway,89,#9CA3AF
United Kingdom,90,#005F73
Hungary,93,#9CA3AF
Switzerland,98,#9CA3AF
Romania,109,#9CA3AF
Portugal,110,#9CA3AF
Belgium,112,#9CA3AF
Poland,115,#6B7280
Austria,117,#9CA3AF
Denmark,132,#D97706
France,348,#C92A2A
