DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CZE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,33.654218,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CZE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,34.046209,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),HUN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,34.353895,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),HUN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,35.029253,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),HUN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,35.149121,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),HUN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,33.560588,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),VUT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,11.097,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),VUT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,14.04,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SO,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,19.441,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SO,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,18.677,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SO,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,18.357,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),TKL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,18.315,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),TKL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,15.959,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),TKL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,18.36,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),TKL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,17.147,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),UKR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,34.40836566,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),UKR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,31.48121425,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),UKR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,32.58302303,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,20.436,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,19.574,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,20.599,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,19.664,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,25.476,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,22.116,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,26.851,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,25.823,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ZMB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,17.23736168,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ZMB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,16.65291568,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ZMB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,16.15845186,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ZMB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,16.14968663,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ZMB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,15.70796461,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),F,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,16.09401316,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),F,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,15.64156408,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),F,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,15.29729878,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),F,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,14.99705223,A,0,TOTALTAX,1,_Z
