DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),AUT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,43.374411,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BEL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,42.571263,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CAN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,34.90457,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,20.479447,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,19.865884,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CRI,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,24.840079,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CZE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,33.975018,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),DNK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,45.177061,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),EST,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,35.231248,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),FIN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,42.217254,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),FRA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,43.462209,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),DEU,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,38.021492,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GRC,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,39.826849,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),HUN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,34.353895,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ISL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,36.948753,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),IRL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,21.694294,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ISR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,30.877349,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ITA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,42.752192,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),JPN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),KOR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,25.333638,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),LVA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,34.90567,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),LTU,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,33.129851,A,0,TOTALTAX,1,_Z
